Date,07/02/2020,Material,Brass,6min heating,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
52410,304.65,286.53,284.96,283.34,283.15,283.53,283.21,285.9
52547,304.65,286.53,284.96,283.34,283.15,283.46,283.21,285.96
52684,304.71,286.53,284.96,283.34,283.15,283.46,283.21,285.96
52822,304.71,286.59,284.96,283.34,283.15,283.46,283.21,285.9
52959,304.84,286.59,284.96,283.34,283.21,283.46,283.21,285.9
53097,305.02,286.53,284.96,283.34,283.21,283.59,283.21,285.96
53234,305.02,286.53,284.96,283.28,283.15,283.59,283.21,285.96
53371,305.09,286.59,284.96,283.28,283.15,283.46,283.21,285.96
53509,305.09,286.65,284.96,283.28,283.15,283.46,283.21,285.9
53646,305.21,286.65,284.96,283.34,283.21,283.46,283.21,285.9
53783,305.21,286.59,284.96,283.34,283.21,283.53,283.21,285.96
53920,305.34,286.59,284.96,283.34,283.15,283.53,283.21,285.96
54059,305.46,286.65,284.96,283.34,283.15,283.46,283.21,285.9
54196,305.46,286.65,284.96,283.34,283.15,283.46,283.15,285.9
54333,305.59,286.71,285.03,283.34,283.15,283.46,283.15,285.9
54470,305.59,286.65,284.96,283.34,283.15,283.46,283.15,285.9
54607,305.71,286.65,284.96,283.34,283.15,283.53,283.15,285.9
54745,305.71,286.71,284.96,283.28,283.21,283.46,283.21,285.9
54883,305.84,286.71,284.96,283.28,283.21,283.46,283.15,285.9
55020,305.84,286.71,285.03,283.34,283.15,283.53,283.15,285.9
55157,306.03,286.78,284.96,283.34,283.15,283.53,283.21,285.9
55294,306.15,286.78,284.96,283.28,283.15,283.46,283.21,285.9
55432,306.15,286.78,285.03,283.34,283.15,283.46,283.15,285.84
55569,306.34,286.78,285.03,283.34,283.15,283.46,283.15,285.84
55706,306.34,286.84,285.03,283.34,283.15,283.46,283.15,285.9
55844,306.46,286.84,285.03,283.34,283.15,283.46,283.15,285.9
55982,306.46,286.78,285.03,283.34,283.15,283.46,283.21,285.9
56119,306.59,286.84,284.96,283.34,283.15,283.46,283.21,285.9
56256,306.71,286.84,284.96,283.28,283.15,283.53,283.21,285.9
56393,306.71,286.84,285.03,283.28,283.15,283.53,283.21,285.84
56530,306.84,286.84,285.03,283.34,283.15,283.46,283.21,285.84
56668,306.84,286.9,285.03,283.34,283.21,283.46,283.21,285.84
56806,307.03,286.9,285.03,283.34,283.21,283.46,283.21,285.84
56943,307.03,286.9,285.03,283.34,283.21,283.46,283.21,285.9
57080,307.15,286.96,285.09,283.34,283.21,283.53,283.21,285.9
57218,307.28,286.96,285.09,283.34,283.15,283.46,283.21,285.9
57355,307.28,286.96,285.03,283.28,283.15,283.46,283.21,285.84
57492,307.4,286.96,285.03,283.28,283.21,283.53,283.21,285.84
57629,307.4,286.96,285.03,283.28,283.15,283.53,283.15,285.84
57767,307.59,287.03,285.03,283.34,283.15,283.46,283.15,285.84
57905,307.59,287.03,285.03,283.34,283.21,283.46,283.15,285.9
58042,307.65,287.03,285.03,283.34,283.21,283.53,283.15,285.9
58179,307.65,287.03,285.03,283.34,283.21,283.46,283.28,285.9
58316,307.78,287.03,285.03,283.34,283.21,283.46,283.21,285.84
58454,307.9,287.03,285.03,283.34,283.21,283.46,283.21,285.84
58591,307.9,287.09,285.03,283.28,283.21,283.46,283.21,285.9
58729,308.03,287.09,285.03,283.28,283.21,283.53,283.21,285.9
58866,308.03,287.09,285.03,283.28,283.21,283.53,283.21,285.84
59003,308.15,287.09,285.09,283.28,283.15,283.46,283.21,285.9
59141,308.15,287.09,285.09,283.34,283.21,283.46,283.21,285.9
