Date,25/02/2020,Inside/Outside,19.69/5.38
Time,Temperature,,
308668,279.09,,
308919,279.09,,
309171,279.03,,
309422,279.03,,
309672,279.03,,
309924,279.09,,
310175,279.09,,
310426,279.03,,
310677,279.03,,
310929,279.09,,
