Date,24/02/2020,Inside/Outside,20.50/6.94
Time,Temperature
248394.0,280.46
248645.0,280.53
248896.0,280.46
249148.0,280.53
249399.0,280.46
249650.0,280.53
249901.0,280.46
250152.0,280.46
250403.0,280.53
250654.0,280.46
250906.0,280.46
251157.0,280.46
251408.0,280.53
251659.0,280.46
251911.0,280.53
252162.0,280.46
252412.0,280.53
252664.0,280.46
252915.0,280.53
253166.0,280.46
253418.0,280.46
253669.0,280.46
253920.0,280.46
254171.0,280.46
254423.0,280.46
254673.0,280.46
254924.0,280.46
255176.0,280.46
255427.0,280.46
255678.0,280.46
255929.0,280.46
256181.0,280.46
256432.0,280.46
256683.0,280.46
256934.0,280.46
257185.0,280.46
257436.0,280.46
257687.0,280.46
257939.0,280.46
258190.0,280.46
258441.0,280.46
258693.0,280.46
258944.0,280.4
259194.0,280.46
259446.0,280.4
259697.0,280.4
259948.0,280.46
260199.0,280.46
260451.0,280.46
260702.0,280.46
260953.0,280.46
261204.0,280.46
261455.0,280.46
261706.0,280.46
261957.0,280.46
262209.0,280.46
262460.0,280.4
262711.0,280.4
262963.0,280.46
263214.0,280.46
263464.0,280.4
263715.0,280.46
263967.0,280.46
264218.0,280.4
264469.0,280.4
264721.0,280.4
264972.0,280.46
265223.0,280.4
265475.0,280.4
265725.0,280.4
265976.0,280.4
266227.0,280.4
266479.0,280.46
266730.0,280.4
266981.0,280.4
267233.0,280.4
267484.0,280.46
267735.0,280.46
267985.0,280.46
268237.0,280.4
268488.0,280.4
268739.0,280.4
268991.0,280.46
269242.0,280.4
269493.0,280.46
269744.0,280.46
269996.0,280.46
270246.0,280.4
270497.0,280.4
270749.0,280.4
271000.0,280.4
271251.0,280.4
271502.0,280.4
271754.0,280.46
272005.0,280.4
272256.0,280.4
272507.0,280.4
272758.0,280.4
273009.0,280.4
273261.0,280.46
273512.0,280.46
273763.0,280.4
274014.0,280.4
274266.0,280.4
274516.0,280.4
274767.0,280.4
275019.0,280.4
275270.0,280.4
275521.0,280.4
275772.0,280.4
276024.0,280.4
276275.0,280.4
276526.0,280.4
276777.0,280.34
277028.0,280.4
277279.0,280.4
277530.0,280.4
277782.0,280.4
278033.0,280.4
278284.0,280.4
278536.0,280.4
278787.0,280.4
279037.0,280.4
279288.0,280.46
279540.0,280.4
279791.0,280.4
280042.0,280.4
280294.0,280.4
280545.0,280.4
280796.0,280.34
281048.0,280.34
281298.0,280.4
281549.0,280.4
281800.0,280.4
282052.0,280.4
282303.0,280.4
282554.0,280.4
282806.0,280.4
283057.0,280.4
283308.0,280.34
283558.0,280.4
283810.0,280.34
284061.0,280.34
284312.0,280.4
284564.0,280.4
284815.0,280.4
285066.0,280.34
285317.0,280.34
285569.0,280.4
285819.0,280.4
286070.0,280.4
286322.0,280.34
286573.0,280.34
286824.0,280.34
287075.0,280.4
287327.0,280.4
287578.0,280.4
287828.0,280.4
288080.0,280.34
288331.0,280.4
288582.0,280.34
288834.0,280.4
289085.0,280.34
289336.0,280.4
289587.0,280.4
289839.0,280.34
290089.0,280.34
290340.0,280.4
290592.0,280.4
290843.0,280.34
291094.0,280.34
291345.0,280.34
291597.0,280.4
291848.0,280.4
292099.0,280.34
292350.0,280.34
292601.0,280.34
292852.0,280.34
293103.0,280.34
293355.0,280.34
293606.0,280.34
293857.0,280.34
294109.0,280.34
294360.0,280.34
294610.0,280.34
294861.0,280.34
295113.0,280.4
295364.0,280.34
295615.0,280.34
295867.0,280.34
296118.0,280.34
296369.0,280.4
296620.0,280.34
296871.0,280.34
297122.0,280.34
297373.0,280.34
297625.0,280.34
297876.0,280.4
298127.0,280.34
298379.0,280.34
298630.0,280.34
298881.0,280.28
299131.0,280.34
299383.0,280.34
299634.0,280.34
299885.0,280.34
300137.0,280.34
300388.0,280.34
300639.0,280.34
300890.0,280.34
301142.0,280.34
301392.0,280.34
301643.0,280.34
301895.0,280.28
302146.0,280.28
302397.0,280.34
302648.0,280.34
302900.0,280.34
303151.0,280.28
303401.0,280.34
303653.0,280.34
303904.0,280.28
304155.0,280.28
304407.0,280.34
304658.0,280.28
304909.0,280.34
305160.0,280.28
305412.0,280.34
305662.0,280.28
305913.0,280.28
306165.0,280.28
306416.0,280.28
306667.0,280.28
306918.0,280.28
307170.0,280.28
307421.0,280.28
307672.0,280.28
307923.0,280.28
308174.0,280.28
308425.0,280.28
308676.0,280.34
308928.0,280.28
309179.0,280.34
309430.0,280.28
309682.0,280.28
309933.0,280.28
310183.0,280.28
310435.0,280.28
310686.0,280.28
310937.0,280.28
311188.0,280.28
311440.0,280.28
311691.0,280.28
311942.0,280.28
312194.0,280.28
312444.0,280.28
312695.0,280.28
312946.0,280.28
313198.0,280.28
313449.0,280.28
313700.0,280.28
313952.0,280.28
314203.0,280.28
314454.0,280.28
314704.0,280.28
314956.0,280.28
315207.0,280.28
315458.0,280.28
315710.0,280.28
315961.0,280.28
316212.0,280.28
316464.0,280.28
316715.0,280.28
316965.0,280.28
317216.0,280.28
317468.0,280.28
317719.0,280.28
317970.0,280.28
318222.0,280.21
318473.0,280.21
318724.0,280.28
318974.0,280.28
319226.0,280.21
319477.0,280.28
319728.0,280.28
319980.0,280.28
320231.0,280.28
320482.0,280.28
320733.0,280.21
320985.0,280.21
321235.0,280.28
321486.0,280.28
321738.0,280.28
321989.0,280.28
322240.0,280.28
322491.0,280.28
322743.0,280.21
322994.0,280.28
323245.0,280.28
323496.0,280.21
323747.0,280.28
323998.0,280.28
324250.0,280.28
324501.0,280.21
324752.0,280.28
325003.0,280.28
325255.0,280.21
325506.0,280.28
325756.0,280.21
326008.0,280.21
326259.0,280.21
326510.0,280.21
326761.0,280.28
327013.0,280.21
327264.0,280.21
327515.0,280.21
327767.0,280.28
328017.0,280.28
328268.0,280.21
328519.0,280.28
328771.0,280.21
329022.0,280.21
329273.0,280.21
329525.0,280.21
329776.0,280.21
