Date,01/02/2020,Material,Brass,3min6s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
63537,305.15,288.21,286.03,285.53,285.28,285.28,285.09,284.78
63674,305.15,288.28,286.03,285.53,285.28,285.28,285.09,284.78
63811,305.15,288.28,286.03,285.59,285.28,285.28,285.09,284.78
63949,305.09,288.21,286.03,285.59,285.34,285.28,285.09,284.71
64087,305.09,288.21,286.03,285.59,285.34,285.21,285.09,284.71
64224,304.96,288.28,286.03,285.59,285.28,285.21,285.09,284.71
64361,304.96,288.28,286.03,285.53,285.28,285.21,285.09,284.71
64498,304.9,288.28,286.03,285.53,285.34,285.21,285.09,284.78
64635,304.9,288.28,286.03,285.53,285.34,285.21,285.09,284.78
64774,304.84,288.28,286.03,285.53,285.28,285.21,285.09,284.71
64911,304.84,288.28,286.03,285.53,285.28,285.28,285.09,284.71
65048,304.71,288.28,285.96,285.53,285.28,285.28,285.09,284.78
